,Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link,day,month,week,year,season
25,2024-10-18,2024-10-18,Run,874,14.317786391040002,4936,5.74329043386622,0.543966361449137,10.4469761088,110.3008972032,0.0,12143.0,,Map My Fitness MapMyRun iPhone,http://www.mapmyrun.com/workout/8231531551,Friday,October,42,2024,autumn
26,2024-11-19,2024-10-16,Run,703,10.3072850496,3725,6.023075240594925,4.1542019605503855,9.9616784256,14.443202568959997,150.0,9662.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8285575300,Tuesday,November,47,2024,autumn
27,2024-11-19,2024-10-04,Run,867,13.14032594688,4735,6.00520460510618,4.106101616559293,9.99133863552,14.612392903679998,149.0,12285.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8285575165,Tuesday,November,47,2024,autumn
28,2024-11-19,2024-10-01,Run,677,10.42351187328,3552,5.679003370317346,4.43262596436809,10.56523070592,13.53599926272,152.0,9257.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8285574979,Tuesday,November,47,2024,autumn
29,2024-11-19,2024-09-21,Run,356,5.892677429760001,1958,5.537138113417641,4.737539022110872,10.83592236672,12.66479698176,146.0,5113.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8285574658,Tuesday,November,47,2024,autumn
30,2024-11-19,2024-09-21,Run,803,13.39830379008,4156,5.170417263183011,3.841130299053528,11.60448068736,15.62040551808,156.0,10921.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8285574550,Tuesday,November,47,2024,autumn
31,2024-09-18,2024-09-18,Run,1232,20.379927744000003,6507,5.3166694006999125,3.833176747792889,11.28526730496,15.6528016128,153.0,17052.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8171485558,Wednesday,September,38,2024,autumn
32,2024-09-16,2024-09-16,Run,1097,18.4799362176,5599,5.050001739839338,3.586560735305814,11.88119129472,16.72913088,155.0,14742.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8167385134,Monday,September,38,2024,autumn
33,2024-09-14,2024-09-14,Run,696,11.46240779904,3897,5.666644297303745,2.9856637238527,10.588276512,20.0960394624,0.0,9550.0,,Map My Fitness MapMyRun iPhone,http://www.mapmyrun.com/workout/8163098998,Saturday,September,37,2024,autumn
34,2024-09-12,2024-09-12,Run,668,10.95300214272,3771,5.738673645907897,0.2019282390837508,10.45537688448,297.13479206399995,0.0,9212.0,,Map My Fitness MapMyRun iPhone,http://www.mapmyrun.com/workout/8159631811,Thursday,September,37,2024,autumn
35,2024-09-10,2024-09-10,Run,635,10.40629189248,3590,5.750709605901535,0.2820422482701026,10.43348980608,212.734355328,0.0,8811.0,,Map My Fitness MapMyRun iPhone,http://www.mapmyrun.com/workout/8155674631,Tuesday,September,37,2024,autumn
36,2024-09-08,2024-09-08,Run,673,10.88349457536,3889,5.95499159906148,1.8282045355126064,10.07558779392,32.8191912576,0.0,9508.0,,Map My Fitness MapMyRun iPhone,http://www.mapmyrun.com/workout/8151776149,Sunday,September,36,2024,autumn
37,2024-09-16,2024-09-02,Run,683,11.14610732928,3572,5.341872216257058,3.645379732363,11.232014112,16.4592438912,151.0,9359.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8167385176,Monday,September,38,2024,autumn
38,2024-09-04,2024-08-31,Run,345,5.77394002944,1797,5.1870327288634375,4.580015211166786,11.56730484096,13.100398122239998,150.0,4720.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8144245519,Wednesday,September,36,2024,autumn
39,2024-08-25,2024-08-25,Run,643,10.5809539968,3607,5.6796061003738165,0.256867394416607,10.56412025856,233.583406848,0.0,8965.0,,Map My Fitness MapMyRun iPhone,http://www.mapmyrun.com/workout/8125271770,Sunday,August,34,2024,summer
40,2024-08-22,2024-08-22,Run,692,10.907683015680002,3598,5.498383192157798,4.097017169728784,10.91230183296,14.64480509184,,9404.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8119873237,Thursday,August,34,2024,summer
41,2024-08-20,2024-08-19,Run,676,10.97608013568,3873,5.881110564304461,2.842021345343196,10.20214660608,21.1116964608,0.0,9504.0,,Map My Fitness MapMyRun iPhone,http://www.mapmyrun.com/workout/8115887107,Tuesday,August,34,2024,summer
42,2024-08-18,2024-08-17,Run,442,6.862291096320001,2719,6.603373797025371,0.0569991872464805,9.08629185024,1052.646160896,0.0,6563.0,,Map My Fitness MapMyRun iPhone,http://www.mapmyrun.com/workout/8112242653,Sunday,August,33,2024,summer
43,2024-08-21,2024-08-11,Run,664,10.907763482880002,3548,5.421140539250775,4.1542019605503855,11.0677805568,14.443202568959997,149.0,9283.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8118851233,Wednesday,August,34,2024,summer
44,2024-08-09,2024-08-08,Run,1141,18.1653094656,6100,5.597001014077786,3.7210689572894298,10.72003350528,16.124339404799997,153.0,15918.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8095480765,Friday,August,32,2024,summer
45,2024-08-09,2024-08-06,Run,995,16.171493184000003,5208,5.367186878628808,3.3514338761632065,11.17905060096,17.9028254592,153.0,13638.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8095480771,Friday,August,32,2024,summer
46,2024-07-31,2024-07-31,Run,48,0.689750354304,266,6.418391593096317,5.254308587846974,9.34818039936,11.41919691264,145.0,686.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8078871463,Wednesday,July,31,2024,summer
47,2024-07-31,2024-07-30,Run,1001,15.37863376896,5567,6.033396216097987,4.377901803467749,9.94465156608,13.705205690879998,146.0,14439.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8078871469,Wednesday,July,31,2024,summer
48,2024-07-30,2024-07-29,Run,1018,16.475820134400003,5867,5.934983446671438,3.719043287202736,10.10954495232,16.133190796799997,,15237.0,,Map My Fitness MapMyRun Android,http://www.mapmyrun.com/workout/8076818143,Tuesday,July,31,2024,summer
49,2024-07-27,2024-07-26,Run,901,14.47849548288,5261,6.056107333174261,2.024924441263024,9.90734697216,29.6307589248,,13641.0,,Map My Fitness MapMyRun Android,http://www.mapmyrun.com/workout/8071293880,Saturday,July,30,2024,summer
50,2024-07-20,2024-07-19,Run,1896,30.285279129600003,10775,5.929708005249344,4.713423606140141,10.11854118528,12.72960526464,156.0,27985.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8058225547,Saturday,July,29,2024,summer
51,2024-07-18,2024-07-17,Run,751,11.66759915904,4276,6.107643859858427,5.4288828243060525,9.8237576448,11.05199289216,150.0,11079.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8054445148,Thursday,July,29,2024,summer
52,2024-07-15,2024-07-15,Run,1249,20.3306818176,7432,6.092575608446671,0.7326649864789629,9.8480587392,81.8927569152,149.0,19262.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8049937198,Monday,July,29,2024,summer
53,2024-07-13,2024-07-13,Run,1349,21.983317171200003,7684,5.825069096476576,3.644304760200429,10.30030049664,16.4640719232,0.0,19180.0,,Map My Fitness MapMyRun iPhone,http://www.mapmyrun.com/workout/8046046930,Saturday,July,28,2024,summer
54,2024-07-11,2024-07-11,Run,1088,18.2747448576,6189,5.64408852302553,3.760532241708423,10.63058616576,15.9551973504,134.0,16138.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8042448736,Thursday,July,28,2024,summer
55,2024-07-09,2024-07-09,Run,1015,16.6039239168,5648,5.669278911158832,3.3575046727113658,10.58335191936,17.8704776448,148.0,14722.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8039049796,Tuesday,July,28,2024,summer
56,2024-07-05,2024-07-05,Run,884,14.42508135552,5026,5.806589517219438,0.1424008788674143,10.33308283392,421.345571328,0.0,12339.0,,Map My Fitness MapMyRun iPhone,http://www.mapmyrun.com/workout/8029739125,Friday,July,27,2024,summer
57,2024-07-09,2024-07-02,Run,596,9.77932365696,3184,5.4263786984013365,4.763263789469498,11.05709451264,12.59639986176,152.0,8330.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8035072063,Tuesday,July,28,2024,summer
58,2024-07-03,2024-07-02,Run,679,10.88912727936,3973,6.080576930724568,4.000493368726636,9.86748352128,14.998136567039998,0.0,9676.0,,Map My Fitness MapMyRun iPhone,http://www.mapmyrun.com/workout/8026376758,Wednesday,July,27,2024,summer
59,2024-06-30,2024-06-29,Run,526,8.51964182784,3029,5.925532390837509,0.6493639644476259,10.1256705792,92.3977498752,0.0,7342.0,,Map My Fitness MapMyRun iPhone,http://www.mapmyrun.com/workout/8020796515,Sunday,June,26,2024,summer
60,2024-07-09,2024-06-22,Run,1024,15.61869961344,6052,6.457786526684163,5.075111349717649,9.2910647808,11.8224019584,147.0,15616.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8035072504,Tuesday,July,28,2024,summer
61,2024-06-19,2024-06-19,Run,651,10.09087656192,3753,6.199028921100771,3.808651226835282,9.67893277824,15.75359482752,163.0,9714.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8000374723,Wednesday,June,25,2024,summer
62,2024-06-10,2024-06-07,Run,1334,19.7588818944,7488,6.316362443330948,4.172923874572497,9.49908858624,14.37839428608,153.0,19354.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7981740619,Monday,June,24,2024,summer
63,2024-06-10,2024-06-05,Run,944,14.163884824320002,5738,6.752378608923884,3.96070697128768,8.885767587839998,15.148803352319998,145.0,14760.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7980705556,Monday,June,24,2024,summer
64,2024-06-05,2024-06-04,Run,276,4.5978153408,1505,5.454042143879742,3.565061292054402,11.001008874239998,16.8300367488,146.0,3935.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7973452984,Wednesday,June,23,2024,summer
65,2024-06-04,2024-06-03,Run,804,11.83369955328,4799,6.7589030064423765,4.252782500198839,8.877189784319999,14.1083946432,145.0,12343.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7971217351,Tuesday,June,23,2024,summer
66,2024-06-03,2024-06-02,Run,1082,15.51016545408,6179,6.639537600413584,3.94290468663008,9.03675624192,15.217200472319998,148.0,15912.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7970157496,Monday,June,23,2024,summer
67,2024-06-01,2024-05-31,Run,694,10.9598740416,4404,6.697262984172433,4.097017169728784,8.958896179199998,14.64480509184,125.0,11335.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7965345649,Saturday,June,22,2024,summer
68,2024-05-30,2024-05-30,Run,940,15.18984162432,5061,5.552746957766643,3.2069775013918718,10.8054574848,18.7092677376,151.0,13214.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7962416071,Thursday,May,22,2024,spring
69,2024-05-29,2024-05-28,Run,577,9.201617441280002,4030,7.2988745724966195,3.586542094170047,8.2204486848,16.72913088,129.0,10311.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7959530656,Wednesday,May,22,2024,spring
70,2024-05-27,2024-05-27,Run,602,11.1764112768,3808,5.678506273363556,4.032580977093772,10.56616412544,14.87880370944,137.0,9925.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7956301000,Monday,May,22,2024,spring
71,2024-05-25,2024-05-24,Run,367,5.972243397120001,1974,5.509772926111508,3.995845512208701,10.88973883008,15.01559794944,147.0,5159.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7951931686,Saturday,May,21,2024,spring
72,2024-05-24,2024-05-24,Run,684,11.2514871744,3463,5.129288703968822,3.952256323073253,11.69753295744,15.18119944704,154.0,9104.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7951314412,Friday,May,21,2024,spring
74,2024-05-23,2024-05-17,Run,1305,21.5874185472,7155,5.524294370874095,4.314434949892627,10.86110860032,13.90679212032,149.0,18692.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7949510896,Thursday,May,21,2024,spring
75,2024-05-13,2024-05-13,Run,1056,17.402319475200002,5897,5.64696547164559,0.719088025928577,10.625178769919998,83.4393364992,0.0,14424.0,,Map My Fitness MapMyRun iPhone,http://www.mapmyrun.com/workout/7929632521,Monday,May,20,2024,spring
76,2024-05-17,2024-05-12,Run,633,10.27176682752,3277,5.3174896106736655,4.005445697128768,11.28351312,14.97959692416,153.0,8589.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7936895191,Friday,May,20,2024,spring
77,2024-05-08,2024-05-08,Run,888,14.59872957312,5041,5.7551586236379535,4.086969597550306,10.42542699264,14.68080611712,141.0,13124.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7920373336,Wednesday,May,19,2024,spring
